DEL,Indira Gandhi International Airport
JFK,John F. Kennedy International Airport
DXB,Dubai International Airport
LHR,London Heathrow Airport
DOH,Hamad International Airport
BOM,Chhatrapati Shivaji Maharaj International Airport
CDG,Charles de Gaulle Airport
LAX,Los Angeles International Airport
FRA,Frankfurt am Main Airport
SIN,Singapore Changi Airport
SYD,Sydney Kingsford Smith Airport
SFO,San Francisco International Airport
ORD,O'Hare International Airport
BKK,Suvarnabhumi Airport
